Frase,Película
"El amor es demasiado débil como palabra para lo que siento - tengo hambre, tengo sed de ti. Me consumo",El paciente inglés
"No eres responsable de cómo te ves, pero sí de cómo te ven",American Beauty
"No todo el mundo puede llegar a ser un gran artista, pero un gran artista puede provenir de cualquier lugar",Ratatouille
"Siempre hay un poco de verdad detrás de cada 'solo bromeaba', un poco de conocimiento detrás de cada 'no lo sé', un poco de emoción detrás de cada 'no me importa' y un poco de dolor detrás de 'está bien'",Eterno resplandor de una mente sin recuerdos
Las ideas son a prueba de balas,V de Vendetta
"Nunca te arrepientas de nada, porque en un momento era exactamente lo que querías",El lado bueno de las cosas
"Lo que hacemos en la vida, hace eco en la eternidad",Gladiador
"No son las habilidades lo que muestra cómo somos, son nuestras decisiones",Harry Potter y la cámara secreta
A veces la verdad no es suficiente. A veces la gente merece más,El caballero oscuro
"Si fuera fácil, todo el mundo lo haría",Moneyball
Algunas personas no pueden creer en sí mismas hasta que alguien más cree en ellas primero,El indomable Will Hunting
"No es lo que está debajo de la máscara de un hombre, sino lo que hace, lo que le define",Batman Begins
No hay hombre más infeliz que aquel que nunca ha enfrentado la adversidad,La vida de Pi
"La felicidad se puede encontrar incluso en los momentos más oscuros, si somos capaces de usar bien la luz",Harry Potter y el prisionero de Azkaban
"Las palabras son, en mi no tan humilde opinión, nuestra más inagotable fuente de magia",Harry Potter y las reliquias de la muerte
Los sueños significan trabajo,La princesa y el sapo
El mundo está lleno de cosas obvias que nadie por casualidad jamás observa,Sherlock Holmes
Un momento puede cambiar todo,Antes del amanecer
Las palabras nos pueden hacer infinitamente felices o sumamente tristes,Medianoche en París
"Nunca dejes que nadie te diga que no puedes hacer algo. Ni siquiera yo. Si tienes un sueño, tienes que protegerlo",En busca de la felicidad
"El arte nunca se termina, solo se abandona",El tren de las 3:10
"Ya no veo mal o bien, solo veo lo que es",El libro de Eli
El mayor problema de este mundo es que no nos entendemos los unos a los otros,Crash
"El respeto es algo que no se da, se merece",Gran Torino
Hay tres tipos de personas en este mundo: los que saben contar y los que no,Austin Powers
"Aunque estés preparado para lo peor, nunca lo estás realmente",Mystic River
No hay nada como el hogar,El mago de Oz
Un gran poder conlleva una gran responsabilidad,Spider-Man
Algunas veces las personas más reales son las que nunca existieron,El club de los poetas muertos
Lo único constante es el cambio,El curioso caso de Benjamin Button
Jamás permitas que otros te digan quién eres,El rey león
"La belleza no está en los rostros, está en el corazón","Babe, el cerdito valiente"
La mayor debilidad del hombre es rendirse cuando todavía tiene fuerzas para seguir,Los puentes de Madison
"La verdadera libertad está en no poder ser encarcelado, torturado o asesinado por expresar tus opiniones",V de Vendetta
"La gente puede ser amada, pero las cosas solo pueden ser usadas. La confusión comienza cuando empezamos a amar cosas y a usar personas",El diablo viste de Prada
Somos lo que elegimos ser,Spider-Man
Cualquiera puede cocinar,Ratatouille
"El hombre no es lo que es por lo que escribe, sino por lo que ha leído",El lector
Todo lo que queremos está al otro lado del miedo,La vida secreta de Walter Mitty
Hay cosas que se rompen y nunca se pueden arreglar,Los puentes de Madison
"La valentía no es la ausencia de miedo, sino el triunfo sobre él",El discurso del rey
La distancia es lo único que hace que el corazón crezca,Her
"Mi filosofía es que no puedes vencer al miedo, solo puedes aprender a vivir con él",A ciegas
Los sueños no funcionan si no lo haces,La bella y la bestia
"No es suficiente con sobrevivir, hay que merecer sobrevivir",Gravedad
"El dolor es inevitable, el sufrimiento es opcional",La vida de Pi
A veces el no hacer nada es el acto más poderoso que existe,Matrix
"Algunos dicen que la vida es demasiado corta para el amor, pero yo digo que es muy larga para estar solo",Intocable
"Lo hermoso de la vida no es cómo termina, sino cómo se vive",Seven
La vida es una suma de nuestras decisiones,El lado bueno de las cosas
No hay mejor noticia que la de estar vivo,Castaway
El fracaso no es una opción,Apollo 13
Este es el comienzo de una hermosa amistad,Casablanca
Nadie puede hacerte sentir inferior sin tu consentimiento,El discurso del rey
"El cambio duele, pero el estancamiento mata",Una mente maravillosa
La realidad es a menudo decepcionante,Avengers: Infinity War
Lo único que podemos hacer es darle un buen uso al tiempo que se nos ha concedido,El Señor de los Anillos: La Comunidad del Anillo
La felicidad solo puede ser encontrada si se mira dentro de uno mismo,Harry Potter y la piedra filosofal
"No es la ausencia de miedo, es el dominio del miedo; es la superación del miedo",Invictus
La esperanza es lo que hace que los pájaros canten ante el amanecer más oscuro,Shawshank Redemption
"Si piensas que estás listo, no lo estás",Alicia en el país de las maravillas
"La belleza es poder, una sonrisa es su espada",La gran belleza
"El pasado puede doler, pero puedes huir de él o aprender de él",El rey león
La aventura está allí fuera,Up
El miedo es el asesino de la mente,Dune
"Recuerda, no importa dónde vayas, ahí estarás",El mundo según Wayne
La verdad rara vez es pura y nunca es simple,Un método peligroso
"No importa cuánto tiempo te escondas, la verdad siempre saldrá a la luz",Secretos de un matrimonio
"El perdón libera el alma. Elimina el miedo. Por eso, el perdón es un arma tan poderosa",Invictus
La primera regla del Club de la Lucha es: no hablar del Club de la Lucha,El Club de la Lucha
Morir sería una gran aventura,Hook
"No me gustas cuando estás en silencio, como si estuvieras vacío",El lado oscuro del corazón
Cada hombre es el arquitecto de su propio destino,Gladiador
"La complejidad no es un vicio, pero debes justificarla",Interestelar
"La perfección no existe, pero si insistes, puedes conseguir la excelencia",El club de los poetas muertos
La gente me pregunta si sé boxear. Siempre les contesto lo mismo: ¿Sabes respirar?,Creed
A veces el camino menos transitado es el menos transitado por una buena razón,Memorias de África
"Cada vez que te veo, es como la primera vez",Eterno resplandor de una mente sin recuerdos
Nunca sabes lo fuerte que eres hasta que ser fuerte es la única opción que te queda,Inquebrantable
"La leyenda es un relato no verificado transmitido por tradición oral, que se refiere a un acontecimiento maravilloso o sobrenatural",Leyendas de pasión
"La vida no es lo que uno vivió, sino lo que uno recuerda y cómo lo recuerda para contarlo",El amor en los tiempos del cólera
"Si hay un plan, se estropea. Si no hay plan, no puede estropearse",Parásitos
No es suficiente ver el mundo como es. Debes poder imaginar el mundo como podría ser,Los Miserables
"La felicidad puede encontrarse hasta en los momentos más oscuros, si somos capaces de usar bien la luz",Harry Potter y el prisionero de Azkaban
La locura es hacer lo mismo una y otra vez esperando resultados diferentes,Lejos del cielo
Mi madre decía que la vida es como una caja de chocolates. Nunca sabes lo que te va a tocar,Forrest Gump
La ignorancia es la raíz de todo mal,Ex Machina
El tiempo que perdiste por tu rosa es lo que hace que tu rosa sea tan importante,El principito
"La vida no se mide por las veces que respiras, sino por los momentos que te dejan sin aliento",Hitch: Especialista en ligues
Puedes ser lo que quieras ser. Lo único que te limita es tu imaginación,La vida secreta de Walter Mitty
"Hay dos clases de dolor: el dolor que te hace más fuerte y el dolor inútil, el dolor que solo provoca sufrimiento",House of Cards
A veces necesitamos contar mentiras para llegar a la verdad,Misión imposible
Nunca confianza. Esa es la clave de una buena vida,Reservoir Dogs
"El miedo hace cautivo al hombre, la esperanza lo libera",Cadena perpetua
"Si buscas la perfección, nunca estarás contento",Anna Karenina
Las cicatrices nos recuerdan que el pasado fue real,El caballero oscuro
A veces son las personas de las que menos esperamos las que hacen cosas que nunca hubiéramos imaginado,Harry Potter y el prisionero de Azkaban
"No hay nada que podamos hacer para cambiar el pasado, pero sí hay mucho que podemos hacer para cambiar el futuro",El curioso caso de Benjamin Button
"La guerra no determina quién tiene razón, solo quién queda",El caballero oscuro
El tiempo es siempre oportuno para hacer lo correcto,Selma
"La vida está llena de posibilidades, solo hay que ser lo suficientemente valiente para verlas",Mujercitas
El miedo te hace más valiente. Esa es mi secreta receta,Kung Fu Panda
"Lo que hagamos en esta vida, tendrá eco en la eternidad",Gladiador
"Solo cuando perdemos todo, somos libres para hacer cualquier cosa",El club de la lucha
Las mentiras que nos contamos para justificar los medios,El lobo de Wall Street
"La felicidad es una decisión que se toma, no una condición que se experimenta",La vida es bella
Las coincidencias son el guiño de Dios,La red social
"El dinero no es una meta, es un medio",El lobo de Wall Street
"Las reglas del juego cambian, pero el juego no",Ocean's Eleven
"Ayer es historia, mañana es un misterio, pero hoy es un regalo, por eso se llama presente",Kung Fu Panda
"La gente no cambia, sólo se revela",Up in the Air
El ojo ve sólo lo que la mente está preparada para comprender,El show de Truman
No hay nadie más sordo que el que no quiere oír,Babel
La verdad está ahí fuera,Expediente X
El miedo alimenta al miedo,Dune
"No me defino por lo que me sucede, sino por cómo respondo a ello",Shawshank Redemption
"La naturaleza no es cruel, solo despiadadamente indiferente",La vida de Pi
"La vida es sufrimiento, princesa. Cualquiera que diga lo contrario está vendiendo algo",La princesa prometida
Nunca es demasiado tarde para ser lo que podrías haber sido,El exótico hotel Marigold
El amor es la única fuerza capaz de transformar a un enemigo en un amigo,Invictus
"Todo es posible, incluso lo imposible",Mary Poppins
Nunca confundas amabilidad con debilidad,El padrino
"Para ver el mundo en un grano de arena y el cielo en una flor silvestre, sostén el infinito en la palma de tu mano y la eternidad en una hora",Blade Runner
No hay lugar como el hogar,El mago de Oz
Nunca debes rendirte. Nunca debes dejar que te digan que no puedes hacer algo,En busca de la felicidad
La familia es lo primero,Los increíbles
La fuerza no proviene de la capacidad física sino de la voluntad indomable,Mandela: del mito al hombre
"El perdón no cambia el pasado, pero sí el futuro",La lista de Schindler
"No puedes vivir tu vida para otras personas. Tienes que hacer lo que es correcto para ti, incluso si eso lastima a algunas personas que amas",El diario de Noah
El éxito consiste en ir de fracaso en fracaso sin perder el entusiasmo,La teoría del todo
El mayor truco del diablo fue convencer al mundo de que no existía,Sospechosos habituales
La verdad nunca daña una causa que es justa,Selma
"No son nuestras habilidades las que muestran cómo somos realmente, son nuestras elecciones",Harry Potter y la cámara secreta
El momento más oscuro es justo antes del amanecer,El caballero oscuro
"La felicidad se puede encontrar incluso en los momentos más oscuros, si uno recuerda encender la luz",Harry Potter y el prisionero de Azkaban
Cada hombre debe inventar su propio camino,El padrino
La vida se contrae o se expande en proporción al coraje de uno,Valkiria
No importa lo que te hayan hecho. Lo que importa es qué haces con lo que te hicieron,Joker
"La vida es un regalo, y no pienso desperdiciarla",Titanic
Los que sueñan de día conocen muchas cosas que escapan a los que sueñan sólo de noche,La gran belleza
El hogar es donde está el corazón,Avatar
"No podemos cambiar el pasado, pero siempre podemos cambiar el futuro",Kung Fu Panda
"Siempre que tengas dudas, consulta tu corazón",Mulán
"Somos lo que hacemos repetidamente. La excelencia, entonces, no es un acto, sino un hábito",El último samurái
La guerra te hace monstruo y luchas por mantener tu humanidad,El francotirador
Nunca dejes que nadie te diga que no sabes amar,Moulin Rouge
A veces hay que perderlo todo para darse cuenta de lo que realmente importa,La vida secreta de Walter Mitty
"Lo que define a un hombre no es cómo cae, sino cómo se levanta",Batman Begins
"Uno no es lo que es por lo que escribe, sino por lo que ha leído",El lector
A veces las preguntas son complicadas y las respuestas simples,El gran Gatsby
La suerte favorece a los audaces,El curioso caso de Benjamin Button
"Las cosas más bellas del mundo no se pueden ver ni tocar, se sienten con el corazón",El principito
"Lo difícil no es encontrar el amor, sino mantenerlo",Amelie
La imaginación es más importante que el conocimiento,Einstein (Una mente brillante)
"No eres tú, es tu personalidad",Cómo perder a un chico en 10 días
"La vida es un viaje, no un destino",El viaje de Chihiro
"No sé a dónde voy, pero sí sé de dónde vengo",Avatar
"Las historias nos definen, nos enseñan, nos cautivan, nos inspiran, nos cambian",La vida secreta de Walter Mitty
Mi única esperanza es la expectativa de lo inesperado,El gran Gatsby
"Un solo acto de bondad arroja raíces en todas direcciones, y las raíces brotan y crean nuevos árboles",El laberinto del fauno
La belleza está en el interior,La bella y la bestia
El destino es lo que hacemos de él,Valiente
Nunca me he encontrado con un hombre que fuera tan malo que no hubiera algo bueno en él,Gran Torino
El verdadero amor es el que te ve como nadie te ha visto jamás,El lado bueno de las cosas
El dinero es la raíz de todo mal,El lobo de Wall Street
"Si no puedes ser mejor que tu competencia, vístete mejor que ellos",El diablo viste de Prada
La derrota solo fortalece a la determinación,Los juegos del hambre
No hay mejor plan que la determinación,Interestelar
"No hacemos lo que hacemos por las medallas o los reconocimientos. Lo hacemos porque hay que hacerlo, porque si no lo hacemos nosotros, nadie más lo hará",Los vengadores
El presente es lo único que importa,El origen
No dejes que nadie te diga nunca que eres menos que lo que realmente eres,Dumbo
"La vejez no viene sola, sino en pareja con la sabiduría",El exótico hotel Marigold
No hay lugar para la lógica en la fe,Los miserables
"No es suficiente tener el valor para saltar precipicios, hay que tener el valor para saltar los precipicios correctos",Instinto
"El verdadero poder, el poder que realmente necesitamos, viene de creer en nosotros mismos",El mago de Oz
El amor es amistad que ha sido incendiada,Annie Hall
La mejor manera de saber quién eres es quién dejas atrás,La vida de Pi
La distancia y el tiempo no son obstáculos para el amor verdadero,Her
"No importa lo que el mundo te haya hecho, lo que importa es lo que tú haces con lo que el mundo te ha hecho",Intocable
"La vida es fugaz, pero sus momentos son imborrables",Big Fish
Es en la oscuridad donde encontramos la luz,Star Wars: El ascenso de Skywalker
"Si puedes soñarlo, puedes hacerlo",El origen
Creer en uno mismo es el secreto del éxito,El libro de la selva
La felicidad depende de nosotros mismos,La vida es bella
La amistad significa compartir la carga,El Señor de los Anillos: La Comunidad del Anillo
El miedo es el enemigo de la razón,An Inconvenient Truth
La verdadera belleza está en lo imperfecto,Amélie
Todos somos al mismo tiempo demonios y ángeles,El exorcista
A veces las pequeñas cosas ocupan más espacio en nuestro corazón,Winnie the Pooh
Hay momentos en que solo un padre nos puede ayudar,To Kill a Mockingbird
El miedo mata la mente,Dune
El amor verdadero es más grande que el miedo a la muerte,Drácula
Los recuerdos nos definen,Blade Runner 2049
A veces el mundo se derrumba y lo único que podemos hacer es quedarnos ahí,La vida es bella
"No todas las serpientes son venenosas, pero es mejor tratarlas a todas como si lo fueran",Kill Bill
Hay dos tipos de personas en el mundo: lobos y ovejas. Decide qué eres y prepárate para las consecuencias,Nightcrawler
"Lo difícil no es conseguir libertad, sino saber qué hacer con ella",El origen del planeta de los simios
Nunca subestimes el poder de la negación,American Beauty
La vida es una gran lotería,Parásitos
"La familia no se elige, pero el amor sí",Little Miss Sunshine
"Lo que está escrito sin esfuerzo, normalmente es leído sin placer",La sociedad de los poetas muertos
La ironía del hombre es que aprende demasiado tarde,Instinto
Nunca confíes en nadie que tenga más problemas que tú,El gran Lebowski
Una amistad nunca se arruina por las respuestas. Lo que arruina una amistad son las preguntas,Pulp Fiction
"La persona más valiosa no es la que más tiene, sino la que menos necesita",Interestelar
El miedo es el camino hacia el lado oscuro,Star Wars: Episodio I - La amenaza fantasma
Un buen plan hoy es mejor que un plan perfecto mañana,El discurso del rey
"La vida no se mide por el número de veces que respiramos, sino por los momentos que nos dejan sin aliento",Troya
"No podemos elegir nuestro destino, pero sí podemos elegir a nuestros compañeros",El gigante de hierro
"En el ajedrez, el peón y el rey van a la misma caja cuando se acaba el juego",Ali
Lo más importante en la vida es decidir qué es lo más importante,Memorias de África
No juzgues las decisiones de alguien si no conoces sus razones,Cadena perpetua
Nunca es tarde para ser lo que podrías haber sido,El curioso caso de Benjamin Button
"No se trata de cuánto nos golpean, sino de cuánto podemos aguantar y seguir avanzando",Rocky Balboa
La gente tiene miedo de aquello que no comprende,X-Men
Las coincidencias son el destino tratando de permanecer anónimo,Serendipity
"La verdad te hace libre, pero primero te hará infeliz",Gloria
Nunca sabes lo fuerte que eres hasta que ser fuerte es la única opción,127 horas
"Cuando la vida te ofrece un sueño que supera con creces cualquiera de tus expectativas, no es razonable lamentarse cuando llega a su fin",Crepúsculo
Los hombres temen lo que no pueden ver,Batman Begins
Un hombre ve en el mundo lo que lleva en su corazón,El corazón de las tinieblas
"La mayoría de las personas existen, nada más",Oscar Wilde (El retrato de Dorian Gray)
"Cuando tengas dudas, consulta tu corazón",Mulán
"No esperes mirando la puerta cerrada, abre otras, aunque no sepas dónde conducen",El laberinto del fauno
El poder siempre ha sido peligroso. Atrae a los peores y corrompe a los mejores,Dune
"El momento en que dudas si puedes volar, pierdes para siempre la capacidad de hacerlo",Peter Pan
"El hombre que elimina un error y no pone la verdad en su lugar, está haciendo un gran servicio al error",El origen
Todos cargamos con secretos que esperamos que el mundo nunca encuentre,El secreto de sus ojos
"El coraje es resistencia al miedo, dominio del miedo; no ausencia de miedo",La delgada línea roja
Grandes cosas nunca vinieron de zonas de confort,La vida de Pi
La esperanza es buena. Quizás la mejor de las cosas. Y las cosas buenas nunca mueren,Cadena perpetua
Incluso la persona más pequeña puede cambiar el curso del futuro,El Señor de los Anillos
El dinero nunca duerme,Wall Street
"Carpe diem. Aprovecha el día, haz tu vida extraordinaria",El club de los poetas muertos
"Oh capitán, mi capitán",El club de los poetas muertos
No permitamos que nadie entre en nuestras mentes con sus pensamientos negativos,La vida es bella
"Buenos días, Vietnam!","Buenos días, Vietnam"
Nadie es perfecto,Con faldas y a lo loco
"Solo quieren fama. Bueno, la fama cuesta y aquí es donde van a empezar a pagar",Fama
Que el Señor abra camino a quien ayuda a su prójimo,La lista de Schindler
No vamos a hundirnos. Esta nave no se va a hundir,Titanic
Vamos a necesitar más café,Tiburón
La vida se abre camino,Parque Jurásico
Todo lo que necesitas es amor,Across the Universe
La libertad a veces no es algo que se te da. Es algo que debes tomar,Django desencadenado
"Eres más valiente de lo que crees, más fuerte de lo que pareces y más inteligente de lo que piensas",Winnie the Pooh
"¡Oye, tú, sí tú, sigue remando!",Buscando a Nemo
Sólo hay una cosa que hace que un sueño sea imposible: el miedo a fracasar,Los juegos del hambre
Una idea es a prueba de balas,Origen
"Nunca te rindas, nunca digas nunca",El curioso caso de Benjamin Button
"No importa cuánto tempo permanezca uno, siempre es difícil marcharse",El exótico hotel Marigold
Un sueño dentro de un sueño... lo habré plantado en su cerebro...,Origen
Las mentes brillantes suelen ir acompañadas de un toque de locura,Una mente maravillosa
"Para amar a alguien, hay que amarse primero a uno mismo",El diablo viste de Prada
"Hay ciertas cosas que no puedes compartir con otra gente sin terminar unidos, y enfrentarse a un trol de más de tres metros es una de ellas",Harry Potter y la piedra filosofal
No es bueno dejarse arrastrar por los sueños y olvidarse de vivir,Harry Potter y la piedra filosofal
"A veces, el viaje es más importante que el destino",El lado bueno de las cosas
La vida es más que supervivencia,Elysium
"El tiempo es más valioso que el dinero. Puedes obtener más dinero, pero no puedes obtener más tiempo",El origen
No hay mayor dolor que llevar una historia no contada dentro de ti,El lector
La esperanza es lo único más fuerte que el miedo,Los juegos del hambre
"El conocimiento, al igual que el aire, está hecho para ser compartido",Los juegos del hambre: En llamas
Un maestro tiene más que enseñar de lo que un estudiante tiene que aprender,Star Wars: Episodio VIII - Los últimos Jedi
"Si siempre haces lo que siempre has hecho, siempre obtendrás lo que siempre has obtenido",American Gangster
"Lo importante es el viaje, no el destino",Matrix Revolutions
"Lo que importa no es lo que miras, sino lo que ves",La vida secreta de Walter Mitty
En la naturaleza no existe la traición. Solo la lucha por sobrevivir,Avatar
"Si amas a alguien, déjalo ir. Si vuelve, es tuyo; si no lo hace, nunca lo fue",P.S. Te amo
Un día sin risa es un día perdido,Mary Poppins
La única forma de tener un amigo es ser uno,Toy Story
"No vemos las cosas como son, las vemos como somos nosotros",Medianoche en París
El cambio es la ley de la vida,Invictus
"Al final no recordamos los días, recordamos los momentos",Begin Again
La diferencia entre el genio y la estupidez es que el genio tiene límites,21 Black Jack
Un guerrero no es lo que tú piensas. Ser guerrero no significa ganar o tener éxito. Significa pelear,Million Dollar Baby
"La vida no es justa, acostúmbrate",El rey león
Nadie puede salvarte excepto tú mismo,El club de la lucha
Todos morimos. Lo que importa es cómo vivimos,Star Trek
Los sueños no funcionan a menos que tú lo hagas,La La Land
"Algún día todo tendrá sentido. Así que, por ahora, ríete de la confusión, sonríe a través de las lágrimas y sigue adelante",La vida es bella
"Lo importante no es si caes, sino cómo te levantas después de la caída",Batman Begins
La mayor mentira que nos contamos a nosotros mismos es 'Mañana lo haré',La llamada
"No quiero sobrevivir, quiero vivir",12 años de esclavitud
A veces las personas más bellas son las que han sido rotas y han sabido reconstruirse,El gran Gatsby
"El pasado puede doler, pero, tal como yo lo veo, puedes o huir de él o aprender",El rey león
Hakuna Matata,El rey león
Todos estamos conectados en el gran ciclo de la vida,El rey león
Has olvidado lo que eres y por lo tanto te has olvidado de mí. Mira dentro de ti Simba,El rey león
Recuerda quién eres. Tú eres mi hijo y el rey legítimo,El rey león
Todo lo que ves existe juntos en un delicado equilibrio,El rey león
"Mamá siempre decía: la vida es como una caja de bombones, nunca sabes lo que te va a tocar",Forrest Gump
"Corre Forrest, Corre!",Forrest Gump
Tonto es el que hace tonterías,Forrest Gump
Haz lo mejor que puedas con lo que Dios te ha dado,Forrest Gump
"La vida es como una pluma, se deja llevar por el viento",Forrest Gump
Mi mamá dice que los zapatos pueden llevarte a lugares especiales,Forrest Gump
"Quien primero golpea, si golpea con bastante fuerza, quizás no tenga que golpear de nuevo",El Señor de los Anillos
"Un Anillo para gobernarlos a todos. Un Anillo para encontrarlos, un Anillo para atraerlos a todos y atarlos en las tinieblas",El Señor de los Anillos
Ni siquiera el más sabio puede prever todas las cosas que están por venir,El Señor de los Anillos
Todo lo que tenemos que decidir es qué hacer con el tiempo que se nos ha dado,El Señor de los Anillos
"Hay cosas que es mejor no haber visto jamás, pero una vez vistas, no se pueden olvidar",El Señor de los Anillos
¡No pasarán!,El Señor de los Anillos
"¡Salva a la animadora, salva el mundo!",Heroes
"Todos esos momentos se perderán en el tiempo, como lágrimas en la lluvia",Blade Runner
Nuestro lema es: más humanos que los humanos,Blade Runner
He visto cosas que vosotros no creeríais,Blade Runner
"Es toda una experiencia vivir con miedo, ¿verdad? Eso es lo que significa ser esclavo",Blade Runner
"El comercio es nuestro objetivo aquí, no la guerra",Blade Runner
"Ser o no ser, esa es la cuestión","Hamlet, príncipe de Dinamarca"
"Hacer o no hacer. No sirve intentar, solo hacer",El Imperio contraataca
"Hace mucho tiempo, en una galaxia muy, muy lejana...",La Guerra de las Galaxias
Que la Fuerza esté contigo,La Guerra de las Galaxias
Yo soy tu padre,El Imperio contraataca
La Fuerza es poderosa en mi familia,El retorno del Jedi
Estos no son los droides que estáis buscando,La Guerra de las Galaxias
"Mantén cerca a tus amigos, pero aún más cerca a tus enemigos",El Padrino II
Los finales felices son historias sin acabar,El Sr. y la Sra. Smith
La vida es un regalo y no pienso desperdiciarla. Nunca se sabe qué cartas repartirá la próxima vez,Titanic
Soy el rey del mundo!,Titanic
"La muerte nos sonríe a todos, devolvámosle la sonrisa",Gladiador
He cruzado océanos de tiempo para encontrarte,Drácula
"A veces el mundo no necesita un héroe; a veces lo que necesita, es un monstruo",Drácula
Los dioses nos envidian porque cada instante nuestro podría ser el último,Troya
"No existen preguntas sin respuesta, solo preguntas mal formuladas",Matrix
"Todos los hombre mueren, pero no todos realmente viven",Corazón Valiente
Le voy a hacer una oferta que no podrá rechazar,El Padrino
¿Me estás hablando a mi?,Taxi Driver
Amar significa no tener que decir nunca lo siento,Historia de amor
"Elemental, querido Watson",Las aventuras de Sherlock Holmes
"Hasta la vista, baby",Terminator II
Vamos a necesitar un barco más grande,Tiburón
Está vivo. Está vivo,Frankenstein
"Houston, tenemos un problema",Apollo 13
Sígueme si quieres vivir,Terminator
No es un hombre...es una máquina,Terminator
El mejor amigo de un chico es su madre,Psicosis
"Por favor, Hal, abre las puertas",2001: Odisea Espacial
"Quién salva una vida, salva al mundo entero",La lista de Schindler
No se puede confiar en alguien que no tiene nada que perder,Infiltrados
Cierra los ojos e imagina que es un mal sueño,Los piratas del caribe
"El pueblo no debería temer al gobierno, el gobierno debería temer al pueblo",V de vendetta
Somos quienes elegimos ser,Spiderman
"Dicen que cuando conoces al amor de tu vida, el tiempo se para",El gran pez
Quiero decirte con mi último aliento que siempre te he amado,El tigre y el dragón
Los sueños se convierten en realidad si los deseamos suficiente,Peter Pan
"Dicen que si sueñas una cosa más de una vez, seguro que se hará realidad",La bella durmiente
¡Solo puede quedar uno!,Los inmortales
¿Alguna vez has bailado con el Diablo a la luz de la Luna?,Batman
¿De verdad tengo pinta de tener un plan? ¿Sabes que soy? Soy un perro que corre detrás de los coches. No sabría qué hacer si alcanzara uno,El Caballero Oscuro
Algunos hombres sólo quieren ver el mundo arder,El Caballero Oscuro
"Anda, alégrame el día",Harry el Sucio
"El miedo lleva a la ira, la ira al odio, y el odio hacia el lado oscuro",El Imperio contraataca
"Espartanos, preparad el desayuno, y alimentaos bien, ¡porque esta noche cenaremos en el infierno!",300
Hay una gran diferencia entre conocer el camino y andar el camino,Matrix
No conoces el poder del lado oscuro,El Imperio contraataca
Siempre se llega a alguna parte si se camina lo bastante,Alicia en el país de las maravillas
"Si conocieras el tiempo tan bien como yo, no hablarías de perderlo",Alicia en el país de las maravillas
"No tiene utilidad volver a ayer, porque entonces era una persona distinta",Alicia en el país de las maravillas
Un hombre sin miedo es un hombre sin esperanzas,Daredevil
Únicamente cuando se pierde todo somos libres para actuar,El club de la pelea
Volveré,Terminator
El futuro no está establecido. No hay destino. Solo existe el que nosotros hacemos,Terminator II
"El tiempo siempre es escaso para quienes lo necesitan, pero para los que aman dura para siempre",Drácula
"Me llamo Bond, James Bond",Agente 007 contra el Dr. No
Siempre nos quedará París,Casablanca
"¿Carretera? A donde vamos, no necesitaremos carreteras",Volver al futuro
¡Salven el reloj de la torre!,Volver al futuro
No me conocen y se atreven a juzgarme. Por eso estoy mejor solo,Shrek
"La vida va demasiado rápido. Si no te paras y miras a tu alrededor de vez en cuando, puedes perdértela",Todo en un día
Los ogros son como las cebollas... las cebollas tienen capas,Shrek
Un enemigo que conoce el futuro no puede perder,Al filo del mañana
¿Qué harías si estuvieses anclado en un lugar y todos los días fueran iguales sin importar lo que hicieras?,El día de la marmota
"¿Y ahora qué hacemos? No lo sé, nunca hemos llegado tan lejos",Al filo del mañana
"Yo sólo puedo mostrarte la puerta, tú eres quien la tiene que atravesar",Matrix
No es un problema grave si no lo conviertes en un problema grave,Del crepúsculo al amanecer
La probabilidad de que una persona tenga razón aumenta en relación directa con la insistencia en convencerla de su error,El cielo puede esperar
Todos nos volvemos locos alguna vez,Psicosis
Lo más importante que puedes aprender es amar y ser amado a cambio,La Bella y la Bestia
"Un héroe puede estar en cualquier parte, incluso puede ser alguien que hace algo tan simple y tranquilizador como poner un abrigo en los hombros de un niño pequeño para hacerle saber que el mundo no se ha terminado",El Caballero Oscuro: La leyenda renace
"La esperanza es algo bueno, quizás lo mejor, y las cosas buenas nunca mueren",Cadena perpetua
"Dicen que Manhattan es la ciudad más grande del mundo. Yo no creo que eso sea cierto. Por mucho que lo intento, no consigo encontrarla por ninguna parte",Desayuno con diamantes
Sólo un loco o un genio ignoraría la evidencia,Contact
"Mi mamá dice que la vida es como una caja de chocolates, nunca sabes lo que te va a tocar",Forrest Gump
