id_relacion,id_pelicula,id_estrella
1,1,1
2,1,2
3,2,1
4,2,2
5,3,1
6,3,2
7,4,2
8,6,8
9,7,8
10,8,8
11,16,6
12,14,5
13,15,20
14,21,23
15,22,23
16,1,28
17,2,28
18,3,28
19,28,21
20,30,26
21,30,28
22,12,12
23,13,19
24,34,7
25,35,7
26,36,7
27,37,7
28,11,9
29,31,9
30,33,12
31,18,10
32,32,21
33,19,21
34,39,29
35,10,18
36,19,18
37,32,18
38,43,34
39,40,8
40,47,19
41,41,17
42,38,51
43,5,16
44,30,32
45,49,20
46,23,15
47,24,15
48,25,15
49,9,7
50,17,7
51,20,7
52,46,30
53,48,30
54,50,30
55,47,34
56,100,57
57,61,33
58,11,10
59,58,35
60,26,16
61,53,41
62,54,41
63,55,41
64,45,33
65,13,32
66,38,16
67,5,25
68,44,25
69,65,25
70,60,18
71,60,31
72,65,43
73,60,36
74,65,36
75,27,4
76,52,4
77,56,4
78,59,26
79,64,26
80,66,26
81,75,44
82,76,44
83,77,45
84,78,45
85,79,49
86,80,53
87,54,85
88,52,81
89,51,83
90,90,57
91,73,24
92,74,24
93,73,27
94,94,39
95,95,39
96,96,39
97,97,40
98,98,40
99,99,40
100,46,82
101,86,50
102,87,50
103,47,88
104,84,48
105,56,100
106,55,89
107,102,59
108,93,60
109,101,60
110,101,62
111,91,61
112,71,58
113,71,31
114,70,31
115,67,13
116,86,14
117,72,22
118,74,27
119,68,42
120,103,42
121,69,11
122,103,11
123,69,45
124,92,58
125,104,63